"","Zone","HOUSING OCCUPANCY","Total housing units","Occupied housing units","Vacant housing units","Homeowner vacancy rate","Rental vacancy rate","UNITS IN STRUCTURE","1unit detached","1unit attached","2 units","3 or 4 units","5 to 9 units","10 to 19 units","20 or more units","Mobile home","Boat RV van etc","YEAR STRUCTURE BUILT","Built 2014 or later","Built 2010 to 2013","Built 2000 to 2009","Built 1990 to 1999","Built 1980 to 1989","Built 1970 to 1979","Built 1960 to 1969","Built 1950 to 1959","Built 1940 to 1949","Built 1939 or earlier","ROOMS","1 room","2 rooms","3 rooms","4 rooms","5 rooms","6 rooms","7 rooms","8 rooms","9 rooms or more","Median rooms","BEDROOMS","No bedroom","1 bedroom","2 bedrooms","3 bedrooms","4 bedrooms","5 or more bedrooms","HOUSING TENURE","Owneroccupied","Renteroccupied","Average household size of owneroccupied unit","Average household size of renteroccupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","Moved in 2017 or later","Moved in 2015 to 2016","Moved in 2010 to 2014","Moved in 2000 to 2009","Moved in 1990 to 1999","Moved in 1989 and earlier","VEHICLES AVAILABLE","No vehicles available","1 vehicle available","2 vehicles available","3 or more vehicles available","HOUSE HEATING FUEL","Utility gas","Bottled tank or LP gas","Electricity","Fuel oil kerosene etc","Coal or coke","Wood","Solar energy","Other fuel","No fuel used","SELECTED CHARACTERISTICS","Lacking complete plumbing facilities","Lacking complete kitchen facilities","No telephone service available","OCCUPANTS PER ROOM","100 or less","101 to 150","151 or more","VALUE","Owneroccupied units","Less than 50000","50000 to 99999","100000 to 149999","150000 to 199999","200000 to 299999","300000 to 499999","500000 to 999999","1000000 or more","Median dollars","MORTGAGE STATUS","Housing units with a mortgage","Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS SMOC","Less than 500","500 to 999","1000 to 1499","1500 to 1999","2000 to 2499","2500 to 2999","3000 or more","Less than 250","250 to 399","400 to 599","600 to 799","800 to 999","1000 or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME SMOCAPI","Housing units with a mortgage excluding units where SMOCAPI cannot be computed","Less than 200 percent","200 to 249 percent","250 to 299 percent","300 to 349 percent","350 percent or more","Not computed","Housing unit without a mortgage excluding units where SMOCAPI cannot be computed","Less than 100 percent","100 to 149 percent","150 to 199 percent","GROSS RENT","Occupied units paying rent","No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME GRAPI","Occupied units paying rent excluding units where GRAPI cannot be computed","Less than 150 percent"
"1",1,NA,146640,134851,11789,130.8,278.1,NA,64553,3112,22847,18058,17601,7068,13115,233,53,NA,585,400,5470,5685,4978,10769,14203,23993,15420,65137,NA,3763,2451,13641,27313,35831,26400,14496,9379,13366,434.1,NA,4466,20420,53302,45867,16790,5795,NA,81200,53651,231.81,204.3,NA,5509,14856,38317,33712,20440,22017,NA,17031,55160,46529,16131,NA,121329,1778,9353,154,25,91,38,820,1263,NA,396,769,3162,NA,130547,2737,1567,NA,81200,1601,2391,4268,7887,24689,31387,8146,831,24799800,NA,52282,28918,NA,111,2994,7510,13377,13007,8546,6737,474,2095,6038,9802,5994,4515,NA,52090,20013,7996,5881,4083,14117,192,28588,9227,5735,3306,NA,51847,1804,NA,50843,7760
"2",2,NA,118021,106624,11397,178.5,322.5,NA,11990,3915,8502,16161,17826,8669,50803,155,0,NA,1310,1628,10462,7222,5445,12280,12744,8465,6137,52328,NA,12460,9651,22605,23634,19962,13145,5809,3775,6980,307.5,NA,15782,33931,38207,19361,6980,3760,NA,42231,64393,161.64,135.49,NA,9002,22227,41369,20191,7416,6419,NA,34553,50552,18599,2920,NA,78755,2157,20583,277,57,25,14,2238,2518,NA,276,712,2717,NA,104472,619,1533,NA,42231,406,619,1357,2851,7235,12396,12287,5080,33615800,NA,32564,9667,NA,47,608,2573,5123,5972,5236,13005,255,232,689,1588,1638,5265,NA,32406,16401,5132,3214,1832,5827,158,9537,3499,1558,1144,NA,62926,1467,NA,61861,8721
"3",3,NA,113056,102241,10815,138.7,387.4,NA,12435,5238,19140,30195,20364,5592,19787,196,109,NA,1935,2242,16255,8450,4029,5132,4379,4456,4066,62112,NA,4889,5902,17954,27333,25161,16892,6333,3540,5052,419.1,NA,5405,21326,48629,27944,7304,2448,NA,37749,64492,238.42,211.75,NA,8142,19052,38972,21152,7864,7059,NA,25176,49984,22337,4744,NA,88770,1254,11193,45,18,35,3,247,676,NA,411,751,2929,NA,99666,1663,912,NA,37749,589,646,1015,1745,7273,14487,10036,1958,35104200,NA,29316,8433,NA,33,572,2296,5764,6791,5314,8546,286,411,1362,1532,1768,3074,NA,29235,13665,4249,3146,1864,6311,81,8302,2559,1406,986,NA,63060,1432,NA,61459,8527
"4",4,NA,153567,133362,20205,NA,220.3,NA,5127,7018,1627,4189,4693,3559,127243,99,12,NA,4244,5947,45816,15078,15192,16739,13798,5432,2823,28498,NA,16441,26435,45974,28014,15991,9404,4024,3287,3997,170.1,NA,19863,58302,52455,17472,4016,1459,NA,58795,74567,NA,80.63,NA,12421,28399,51738,27904,8048,4852,NA,46843,69566,15580,1373,NA,72346,1621,55241,218,34,52,19,1311,2520,NA,472,1050,3218,NA,130325,1189,1848,NA,58795,706,500,927,1821,10380,20988,15255,8218,NA,NA,41809,16986,NA,0,451,2790,7568,6966,7335,16699,181,187,535,1143,2021,12919,NA,41377,17842,7318,3936,2846,9435,432,16776,5730,2626,1611,NA,73171,1396,NA,70638,11068
"5",5,NA,50916,44401,6515,NA,NA,NA,3972,3447,1860,6690,10021,2809,22038,45,34,NA,474,1096,6123,3312,3469,5786,5111,4887,2711,17947,NA,3145,2973,10067,12653,9191,5524,2773,1823,2767,NA,NA,3715,14156,14940,11986,4221,1898,NA,11845,32556,NA,NA,NA,2833,7800,16741,10414,3367,3246,NA,16817,20594,5792,1198,NA,33128,616,8522,157,41,13,4,574,1346,NA,93,269,1305,NA,43647,494,260,NA,11845,406,1011,1312,1586,2592,2919,1585,434,NA,NA,8294,3551,NA,0,493,1429,1807,1565,1342,1658,232,120,469,730,636,1364,NA,8154,3433,1314,780,503,2124,140,3507,1315,530,451,NA,31993,563,NA,30352,2784
"6",6,NA,112065,96484,15581,NA,NA,NA,63131,1895,19821,13395,6388,2446,4634,303,52,NA,78,680,2483,3195,3704,8017,18861,30800,13880,30367,NA,2297,1056,6913,18416,30732,25274,11760,7512,8105,NA,NA,2463,9247,32829,44877,15496,7153,NA,57887,38597,NA,NA,NA,1955,9040,26249,26891,16038,16311,NA,19619,34925,28602,13338,NA,89391,732,5572,90,39,0,11,119,530,NA,347,732,2495,NA,92241,3391,852,NA,57887,2448,6755,12149,17612,15496,2681,511,235,NA,NA,37029,20858,NA,165,3621,14026,13010,4374,1174,659,748,3234,9106,5550,1568,652,NA,36859,12113,5541,4292,3310,11603,170,20511,6949,4017,2683,NA,37204,1393,NA,35822,3416
"7",7,NA,40736,32606,8130,189,338,NA,4980,952,5817,6766,9659,2160,10374,28,0,NA,139,277,1668,2187,1074,3033,4495,5095,4790,17978,NA,2798,1495,5303,9549,9730,6668,2322,1271,1600,135.6,NA,3193,9988,13786,9992,2797,980,NA,7703,24903,69.18,63.35,NA,2066,4912,12202,7216,2854,3356,NA,14312,13538,3788,968,NA,23535,408,5047,98,0,14,25,417,3062,NA,173,456,1581,NA,31702,505,399,NA,7703,594,1394,1624,1406,1506,773,373,33,NA,NA,5307,2396,NA,8,616,1591,1601,658,521,312,128,335,661,436,354,482,NA,5149,1867,696,523,321,1742,158,2341,723,379,263,NA,24440,463,NA,22356,2230
"8",8,NA,98853,80007,18846,232.4,344.3,NA,40627,5284,15031,14345,12123,3796,7323,310,14,NA,241,546,2399,2047,1961,4166,9839,15073,20510,42071,NA,2885,1245,8508,16378,25469,23084,10621,4656,6007,341.2,NA,3150,14652,33238,33107,10658,4048,NA,37044,42963,180.8,163.96,NA,3198,9013,23150,16762,9144,18740,NA,23626,33058,17776,5547,NA,72691,878,5455,53,0,22,15,293,600,NA,293,619,2020,NA,77829,1517,661,NA,37044,2477,7248,10417,9567,5420,1118,520,277,8918900,NA,21990,15054,NA,245,3697,8609,6188,2226,769,256,556,3000,6116,3263,1356,763,NA,21697,7199,2814,2357,1948,7379,293,14730,4716,2924,1813,NA,41612,1351,NA,39558,4016
"9",9,NA,73808,63591,10217,202.2,254.6,NA,49092,5083,5838,4078,4057,1853,3263,544,0,NA,56,529,2233,1708,1719,5118,10843,16902,12576,22124,NA,1120,587,4133,8303,16849,17803,11539,6906,6568,319.5,NA,1271,6034,19023,31186,12284,4010,NA,41328,22263,152.11,151.56,NA,1757,4989,14000,15081,8888,18876,NA,10947,26963,18764,6917,NA,58093,556,4360,42,7,11,11,116,395,NA,215,321,1090,NA,62305,981,305,NA,41328,1975,6798,9389,7962,8346,5635,931,292,8844000,NA,26549,14779,NA,235,3537,8400,7517,3852,1625,1383,707,2051,5204,3880,1778,1159,NA,26334,11027,3567,2753,1792,7195,215,14444,4943,3133,1638,NA,21356,907,NA,20093,2399
"10",10,NA,63971,51977,11994,332.4,438.7,NA,9791,1480,21238,19512,6667,1360,3811,103,9,NA,98,626,3547,2096,2067,2296,2350,3866,4730,42295,NA,2825,1236,4165,16640,17645,12495,4078,2332,2555,313.7,NA,2901,5542,25754,22027,5522,2225,NA,16370,35607,206.15,203.21,NA,1850,6590,18047,11866,5500,8124,NA,17096,21874,9542,3465,NA,47347,534,3700,29,0,6,10,127,224,NA,297,800,2299,NA,47642,3237,1098,NA,16370,1023,2356,3566,4923,3110,1055,303,34,NA,NA,9387,6983,NA,52,1104,3148,2999,1384,420,280,207,883,2205,2168,971,549,NA,9311,2317,1002,952,791,4249,76,6809,1472,1513,834,NA,34500,1107,NA,32535,3103
"11",11,NA,114082,102383,11699,72.4,443,NA,11782,2988,8200,15559,21309,10820,43276,130,18,NA,413,659,4550,2855,3747,10123,12997,14989,12411,51338,NA,11453,6067,20985,24921,22884,14225,6367,2861,4319,226.5,NA,13384,34854,37999,21777,4358,1710,NA,37169,65214,121.53,118.82,NA,6700,17062,37811,24334,9086,7390,NA,30377,48825,19027,4154,NA,78173,1640,18381,304,37,16,41,1555,2236,NA,350,1032,3109,NA,96565,3279,2539,NA,37169,977,2802,4215,5134,8266,10182,4790,803,14096300,NA,25816,11353,NA,110,1502,5574,6575,4697,3025,4333,753,630,2352,2299,2116,3203,NA,25753,9741,4176,2885,2078,6873,63,11224,3733,1709,1343,NA,64110,1104,NA,62643,7079
"12",12,NA,89167,78574,10593,130.8,275.3,NA,26897,1529,24867,18911,8658,2581,5445,229,50,NA,219,245,2791,2019,1693,3352,5713,9930,9373,53832,NA,3125,933,7410,15830,24042,19279,8146,4399,6003,308.3,NA,3403,11972,34209,26004,8768,4811,NA,35537,43037,203.3,176.18,NA,3037,9300,25175,18589,10844,11629,NA,17541,31374,20877,8782,NA,70540,834,5795,60,0,3,4,817,521,NA,375,678,2512,NA,74038,3218,1318,NA,35537,1316,2716,4136,7023,12744,6448,922,232,12856900,NA,25127,10410,NA,115,1687,5852,8272,5916,1944,1341,197,803,2873,3632,1808,1097,NA,24991,6399,3467,2907,2009,10209,136,10235,2984,1696,1379,NA,42051,986,NA,40820,3824
"13",13,NA,59504,52283,7221,300.2,341.4,NA,15205,1986,20736,13385,4239,634,3210,93,16,NA,93,542,3981,3089,2037,3062,4811,4837,4087,32965,NA,1518,1680,5065,16338,15998,9959,3929,2206,2811,251.3,NA,1598,6037,23984,20452,4890,2543,NA,23040,29243,177.77,146.41,NA,1664,5654,15844,14499,7690,6932,NA,12393,22427,12787,4676,NA,48261,552,3094,12,0,75,9,96,184,NA,232,558,1864,NA,48323,3193,767,NA,23040,1109,2209,3547,4272,6493,4277,1001,132,NA,NA,13096,9944,NA,30,1069,3838,4299,2092,978,790,371,1043,3582,3077,1229,642,NA,13004,3474,1587,1509,1073,5361,92,9716,2945,1809,1178,NA,28403,840,NA,27598,3348
