"","Zone","Total population","Male","Female","Sex ratio males per 100 females","Under 5 years","5 to 9 years","10 to 14 years","15 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 59 years","60 to 64 years","65 to 74 years","75 to 84 years","85 years and over","Median age years","Under 18 years","16 years and over","18 years and over","21 years and over","62 years and over","65 years and over","One race","Two or more races","White","Black or African American","American Indian and Alaska Native","Cherokee tribal grouping","Chippewa tribal grouping","Navajo tribal grouping","Sioux tribal grouping","Asian","Asian Indian","Chinese","Filipino","Japanese","Korean","Vietnamese","Other Asian","Native Hawaiian and Other Pacific Islander","Native Hawaiian","Guamanian or Chamorro","Samoan","Other Pacific Islander","Some other race","White and Black or African American","White and American Indian and Alaska Native","White and Asian","Black or African American and American Indian and Alaska Native","Hispanic or Latino of any race","Mexican","Puerto Rican","Cuban","Other Hispanic or Latino","Not Hispanic or Latino","White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some other race alone","Two races including Some other race","Two races excluding Some other race and Three or more races","Total housing units","Citizen 18 and over population"
"1",1,366732,181083,185649,8000.5,23382,21726,20416,19025,20645,58819,54149,50396,25402,20910,28144,16208,7510,3188.8,76957,297347,289775,278265,63818,51862,352965,13767,275422,8910,905,94,44,0,9,32195,5552,1893,13375,812,2389,3332,4842,196,56,58,40,42,35337,2630,1161,4254,123,114439,65355,20711,2100,26273,252293,202936,8093,371,31770,118,881,370,7754,146640,240763
"2",2,214588,108127,106461,7264,12813,8798,6640,4225,20606,69279,34080,23144,8965,7991,10483,5291,2273,2313.7,31118,185331,183470,180696,22759,18047,207035,7553,175264,13430,576,147,85,3,0,14244,3962,2908,2695,504,1489,967,1719,85,36,0,9,40,3436,1311,892,3822,54,20698,11567,2892,924,5315,193890,159345,13080,428,14137,85,250,303,6262,118021,170194
"3",3,244506,123436,121070,9499.4,16193,10953,9553,9893,20019,78522,39108,24000,10125,7864,11012,5436,1828,2894.3,42544,205886,201962,195379,23038,18276,235872,8634,163308,30627,848,20,12,7,0,14692,4439,3355,2725,365,1934,613,1261,124,29,83,0,12,26273,2017,834,2825,131,81275,52668,19047,1324,8236,163231,113535,29152,200,14274,31,530,304,5205,113056,178201
"4",4,238990,114271,124719,4301,9834,6069,4886,10140,20002,77881,34002,25273,12141,11324,18185,7369,1884,1623.8,22715,217477,216275,204851,33854,27438,232009,6981,161639,30165,422,92,41,0,0,36913,14556,10875,4073,1087,3456,554,2312,14,5,9,0,0,2856,1701,535,3192,100,14368,5878,2399,1128,4963,224622,151406,29303,358,36701,14,544,571,5725,153567,191295
"5",5,96828,43356,53472,3949.7,5734,5313,5491,7164,10270,16959,12007,10622,5059,5235,7462,3827,1685,1621.6,19894,78994,76934,70581,16101,12974,93910,2918,20091,65970,274,17,0,0,67,6488,1582,3188,252,328,549,117,472,0,0,0,0,0,1087,981,172,757,232,4009,2223,408,177,1201,92819,17686,65514,212,6456,0,235,194,2522,50916,70039
"6",6,308348,149337,159011,8204.8,22118,22472,24445,22593,21318,43733,41920,37505,18322,15700,22877,10762,4583,3140.4,82799,234281,225549,212986,46929,38222,300994,7354,119958,102166,1132,13,18,0,15,3289,338,2105,578,62,63,44,99,41,0,21,10,10,74408,965,650,385,584,157219,143387,7734,487,5611,151129,43233,101436,171,3145,0,253,419,2472,112065,187032
"7",7,73345,32268,41077,2310.2,4844,4294,4783,5503,5635,11585,8656,8400,4960,4692,5883,2814,1296,1046.8,16886,58472,56459,52631,12611,9993,72173,1172,5054,65022,294,26,0,0,0,1229,228,564,150,16,65,68,138,0,0,0,0,0,574,669,148,22,83,1796,1260,208,62,266,71549,4143,64742,294,1218,0,119,65,968,40736,54782
"8",8,209605,94717,114888,5349.3,13153,12589,14862,14382,14767,25628,24950,27645,14981,13233,17158,11798,4459,2519.2,49533,166320,160072,151848,41088,33415,206775,2830,41633,159729,185,42,5,0,0,628,31,146,62,0,94,25,270,62,25,0,37,0,4538,720,102,112,344,37774,33478,2602,1,1693,171831,10457,158926,74,600,62,287,18,1407,98853,152014
"9",9,180179,82463,97716,4587.6,11549,10826,12129,12712,12413,21470,21856,23631,13263,11093,16047,9560,3630,2117.9,42610,143372,137569,130240,35726,29237,177526,2653,44386,130273,118,13,10,0,0,878,123,171,433,6,63,0,82,20,11,9,0,0,1851,939,105,112,393,8341,6159,1147,113,922,171838,38635,129694,63,878,9,537,31,1991,73808,135591
"10",10,180219,90733,89486,6710.4,14215,14813,14262,14042,16263,28450,24370,20014,9422,7439,9974,5243,1712,1984,51880,133744,128339,120070,20938,16929,177206,3013,47153,92519,518,0,81,7,8,799,283,155,76,14,114,21,136,86,43,14,29,0,36131,656,318,261,367,79404,67709,6314,266,5115,100815,7370,91177,136,765,29,261,58,1019,63971,103968
