STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,fid,Zone
"17","031","080202","17031080202","802.02",Census Tract 802.02,G5020,S,"155240","0","+41.9058589","-087.6309010",1,4
"17","031","071700","17031071700","717",Census Tract 717,G5020,S,"159951","0","+41.9128666","-087.6410717",1,4
"17","031","071600","17031071600","716",Census Tract 716,G5020,S,"162169","0","+41.9164722","-087.6411823",1,4
"17","031","280100","17031280100","2801",Census Tract 2801,G5020,S,"564644","29634","+41.8854520","-087.6434977",1,4
"17","031","281900","17031281900","2819",Census Tract 2819,G5020,S,"421311","17458","+41.8786346","-087.6429236",1,4
"17","031","081300","17031081300","813",Census Tract 813,G5020,S,"202656","0","+41.8983354","-087.6207531",1,4
"17","031","081000","17031081000","810",Census Tract 810,G5020,S,"298829","0","+41.9002655","-087.6321089",1,4
"17","031","081401","17031081401","814.01",Census Tract 814.01,G5020,S,"281790","0","+41.8950347","-087.6197175",1,4
"17","031","839000","17031839000","8390",Census Tract 8390,G5020,S,"485696","30871","+41.8714863","-087.6313078",1,4
"17","031","330100","17031330100","3301",Census Tract 3301,G5020,S,"2793587","828956","+41.8592947","-087.6155230",1,4
"17","031","842200","17031842200","8422",Census Tract 8422,G5020,S,"1407941","136789","+41.9047279","-087.6492199",1,4
"17","031","081201","17031081201","812.01",Census Tract 812.01,G5020,S,"185124","0","+41.8991538","-087.6262120",1,4
"17","031","839100","17031839100","8391",Census Tract 8391,G5020,S,"1101979","84111","+41.8809857","-087.6330703",1,4
"17","031","839200","17031839200","8392",Census Tract 8392,G5020,S,"650846","0","+41.8420108","-087.6220362",1,4
"17","031","080201","17031080201","802.01",Census Tract 802.01,G5020,S,"135375","0","+41.9094976","-087.6310051",1,4
"17","031","081700","17031081700","817",Census Tract 817,G5020,S,"359199","12366","+41.8922185","-087.6318316",1,4
"17","031","081500","17031081500","815",Census Tract 815,G5020,S,"284635","11173","+41.8929064","-087.6260787",1,4
"17","031","081600","17031081600","816",Census Tract 816,G5020,S,"128834","3966","+41.8920572","-087.6288708",1,4
"17","031","081800","17031081800","818",Census Tract 818,G5020,S,"701139","44573","+41.8933243","-087.6391895",1,4
"17","031","081900","17031081900","819",Census Tract 819,G5020,S,"137297","0","+41.8979900","-087.6414870",1,4
"17","031","071400","17031071400","714",Census Tract 714,G5020,S,"640573","683301","+41.9227255","-087.6295259",1,4
"17","031","071500","17031071500","715",Census Tract 715,G5020,S,"895866","723071","+41.9142415","-087.6250923",1,4
