"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2001-01-01",70,296,2,41
"2001-01-02",66,143,0,35
"2001-01-03",79,165,0,51
"2001-01-04",57,173,2,55
"2001-01-05",68,178,1,55
"2001-01-06",67,236,4,54
"2001-01-07",61,218,1,36
"2001-01-08",67,192,0,44
"2001-01-09",63,212,2,38
"2001-01-10",88,199,2,41
"2001-01-11",89,222,5,34
"2001-01-12",78,239,1,45
"2001-01-13",79,251,1,45
"2001-01-14",72,249,2,45
"2001-01-15",62,203,1,48
"2001-01-16",58,219,3,56
"2001-01-17",72,205,0,48
"2001-01-18",69,232,1,55
"2001-01-19",47,200,1,51
"2001-01-20",53,239,2,51
"2001-01-21",51,222,3,42
"2001-01-22",64,181,1,43
"2001-01-23",60,208,0,40
"2001-01-24",67,181,0,38
"2001-01-25",73,184,1,32
"2001-01-26",77,206,0,54
"2001-01-27",67,233,1,50
"2001-01-28",61,217,1,50
"2001-01-29",79,214,1,44
"2001-01-30",65,210,2,41
"2001-01-31",94,198,1,34
"2001-02-01",79,205,1,43
"2001-02-02",68,206,1,50
"2001-02-03",63,199,1,45
"2001-02-04",73,257,0,47
"2001-02-05",92,219,1,42
"2001-02-06",89,218,0,38
"2001-02-07",85,182,0,33
"2001-02-08",86,239,0,39
"2001-02-09",63,211,4,45
"2001-02-10",56,212,0,40
"2001-02-11",49,221,2,45
"2001-02-12",71,201,1,57
"2001-02-13",83,211,0,36
"2001-02-14",74,173,2,55
"2001-02-15",80,222,2,40
"2001-02-16",73,222,1,38
"2001-02-17",66,229,0,30
"2001-02-18",54,242,1,51
"2001-02-19",63,179,0,44
"2001-02-20",72,225,1,31
"2001-02-21",87,195,0,40
"2001-02-22",72,196,1,37
"2001-02-23",70,219,2,36
"2001-02-24",48,239,3,54
"2001-02-25",58,252,1,34
"2001-02-26",79,236,0,38
"2001-02-27",92,216,1,42
"2001-02-28",84,214,1,29
"2001-03-01",97,237,2,53
"2001-03-02",115,257,0,43
"2001-03-03",61,270,3,55
"2001-03-04",73,258,2,52
"2001-03-05",65,184,1,32
"2001-03-06",95,234,0,40
"2001-03-07",102,247,1,42
"2001-03-08",90,252,1,35
"2001-03-09",103,250,1,59
"2001-03-10",76,269,5,43
"2001-03-11",87,267,1,45
"2001-03-12",80,246,1,43
"2001-03-13",102,217,1,39
"2001-03-14",105,246,0,46
"2001-03-15",109,230,0,46
"2001-03-16",98,240,0,48
"2001-03-17",75,219,1,39
"2001-03-18",72,278,0,45
"2001-03-19",103,240,1,37
"2001-03-20",96,266,1,42
"2001-03-21",99,274,2,37
"2001-03-22",108,238,0,37
"2001-03-23",100,271,2,53
"2001-03-24",55,253,4,55
"2001-03-25",66,202,2,45
"2001-03-26",89,216,2,36
"2001-03-27",118,245,0,56
"2001-03-28",124,264,2,37
"2001-03-29",106,267,0,41
"2001-03-30",71,240,1,66
"2001-03-31",84,283,0,52
"2001-04-01",71,270,4,39
"2001-04-02",96,244,1,49
"2001-04-03",93,248,3,42
"2001-04-04",69,256,1,32
"2001-04-05",89,256,1,39
"2001-04-06",90,285,2,45
"2001-04-07",91,324,1,42
"2001-04-08",78,342,1,60
"2001-04-09",112,242,0,51
"2001-04-10",102,230,1,51
"2001-04-11",103,244,3,45
"2001-04-12",90,305,2,39
"2001-04-13",78,252,4,40
"2001-04-14",81,320,2,51
"2001-04-15",97,282,2,46
"2001-04-16",73,189,2,33
"2001-04-17",68,175,3,38
"2001-04-18",88,249,3,48
"2001-04-19",96,252,3,44
"2001-04-20",102,299,4,52
"2001-04-21",97,343,2,46
"2001-04-22",100,385,4,54
"2001-04-23",95,245,3,28
"2001-04-24",95,261,1,43
"2001-04-25",92,280,3,33
"2001-04-26",102,283,0,46
"2001-04-27",114,306,2,64
"2001-04-28",96,271,0,41
"2001-04-29",80,367,1,49
"2001-04-30",108,321,0,51
"2001-05-01",137,301,4,48
"2001-05-02",119,327,2,36
"2001-05-03",121,351,2,59
"2001-05-04",114,318,1,52
"2001-05-05",78,326,0,53
"2001-05-06",74,317,4,55
"2001-05-07",108,250,5,53
"2001-05-08",111,289,0,41
"2001-05-09",103,325,3,31
"2001-05-10",86,302,3,34
"2001-05-11",86,246,2,52
"2001-05-12",82,261,4,67
"2001-05-13",72,302,0,50
"2001-05-14",89,249,2,49
"2001-05-15",107,301,0,58
"2001-05-16",115,312,0,57
"2001-05-17",109,304,2,41
"2001-05-18",93,281,3,58
"2001-05-19",73,305,0,44
"2001-05-20",90,326,0,55
"2001-05-21",107,325,1,65
"2001-05-22",86,218,0,54
"2001-05-23",80,247,0,42
"2001-05-24",108,240,0,34
"2001-05-25",96,234,0,43
"2001-05-26",64,255,0,49
"2001-05-27",60,243,1,36
"2001-05-28",76,353,0,41
"2001-05-29",93,281,1,52
"2001-05-30",97,247,0,43
"2001-05-31",69,250,2,39
"2001-06-01",87,242,2,65
"2001-06-02",97,273,5,56
"2001-06-03",72,250,1,44
"2001-06-04",86,206,2,63
"2001-06-05",91,194,3,48
"2001-06-06",92,236,2,44
"2001-06-07",90,256,2,36
"2001-06-08",92,282,1,42
"2001-06-09",91,335,2,49
"2001-06-10",87,388,0,60
"2001-06-11",113,281,2,39
"2001-06-12",103,329,3,51
"2001-06-13",94,342,0,45
"2001-06-14",93,309,4,48
"2001-06-15",84,263,0,50
"2001-06-16",84,390,1,42
"2001-06-17",113,423,4,54
"2001-06-18",76,298,1,46
"2001-06-19",122,278,3,53
"2001-06-20",95,268,1,47
"2001-06-21",78,250,3,48
"2001-06-22",86,259,3,36
"2001-06-23",85,300,7,50
"2001-06-24",94,318,2,40
"2001-06-25",83,273,1,56
"2001-06-26",87,271,4,36
"2001-06-27",100,286,2,32
"2001-06-28",99,283,1,45
"2001-06-29",106,308,3,66
"2001-06-30",87,367,4,57
"2001-07-01",119,341,1,61
"2001-07-02",105,230,3,51
"2001-07-03",82,278,0,56
"2001-07-04",94,390,2,51
"2001-07-05",108,311,2,69
"2001-07-06",83,270,1,44
"2001-07-07",81,324,1,51
"2001-07-08",99,341,3,34
"2001-07-09",85,266,4,47
"2001-07-10",105,267,6,58
"2001-07-11",103,248,1,62
"2001-07-12",90,266,0,48
"2001-07-13",83,294,4,58
"2001-07-14",113,333,1,71
"2001-07-15",108,358,1,58
"2001-07-16",121,295,1,48
"2001-07-17",100,243,5,59
"2001-07-18",84,267,2,54
"2001-07-19",108,271,5,50
"2001-07-20",81,291,1,54
"2001-07-21",101,380,2,56
"2001-07-22",92,331,2,49
"2001-07-23",107,258,8,61
"2001-07-24",97,287,4,39
