"","beat_num","district","Zone"
"1","1713","17",1
"2","1914","19",2
"3","1915","19",2
"4","1913","19",2
"5","0735","07",6
"6","1912","19",2
"7","1723","17",1
"8","1911","19",2
"9","1722","17",1
"10","1923","19",2
"11","1724","17",1
"12","2024","20",11
"13","1624","16",1
"14","1632","16",1
"15","1925","19",2
"16","1922","19",2
"17","1732","17",1
"18","1921","19",2
"19","1733","17",1
"20","1731","17",1
"21","1634","16",1
"22","1633","16",1
"23","1924","19",2
"24","1631","16",1
"25","1934","19",2
"26","1933","19",2
"27","2422","24",11
"28","2424","24",11
"29","1611","16",1
"30","2411","24",11
"31","2033","20",11
"32","2423","24",11
"33","1621","16",1
"34","2431","24",11
"35","2432","24",11
"36","2022","20",11
"37","1622","16",1
"38","1614","16",1
"39","1612","16",1
"40","2412","24",11
"41","2023","20",11
"42","1712","17",1
"43","1613","16",1
"44","2433","24",11
"45","1823","18",4
"46","2413","24",11
"47","1711","17",1
"48","2013","20",11
"49","2012","20",11
"50","2011","20",11
"51","1623","16",1
"52","2032","20",11
"53","1213","12",3
"54","2031","20",11
"55","1423","14",3
"56","1212","12",3
"57","1211","12",3
"58","1121","11",10
"59","1112","11",10
"60","1524","15",12
"61","1111","11",10
"62","1531","15",12
"63","1511","15",12
"64","1833","18",4
"65","1832","18",4
"66","1831","18",4
"67","1834","18",4
"68","1223","12",3
"69","1214","12",3
"70","1222","12",3
"71","1215","12",3
"72","0122","01",4
"73","1221","12",3
"74","1532","15",12
"75","1122","11",10
"76","1114","11",10
"77","1523","15",12
"78","1512","15",12
"79","1123","11",10
"80","0114","01",4
"81","0111","01",4
"82","0333","03",7
"83","1113","11",10
"84","0121","01",4
"85","1224","12",3
"86","0112","01",4
"87","0131","01",4
"88","1232","12",3
"89","0911","09",13
"90","1522","15",12
"91","0215","02",5
"92","1513","15",12
"93","1115","11",10
"94","0212","02",5
"95","0213","02",5
"96","0821","08",6
"97","0214","02",5
"98","0815","08",6
"99","0925","09",13
"100","0224","02",5
"101","0924","09",13
"102","1012","10",10
"103","0921","09",13
"104","0225","02",5
"105","0814","08",6
"106","0222","02",5
"107","0221","02",5
"108","0922","09",13
"109","0223","02",5
"110","0935","09",13
"111","0933","09",13
"112","0931","09",13
"113","0923","09",13
"114","1234","12",3
"115","0234","02",5
"116","1124","11",10
"117","0233","02",5
"118","0231","02",5
"119","0113","01",4
"120","0934","09",13
"121","0932","09",13
"122","0822","08",6
"123","1024","10",10
"124","0811","08",6
"125","0235","02",5
"126","2515","25",12
"127","1814","18",4
"128","0711","07",6
"129","1231","12",3
"130","1533","15",12
"131","1125","11",10
"132","1225","12",3
"133","1134","11",10
"134","1133","11",10
"135","1132","11",10
"136","1131","11",10
"137","0123","01",4
"138","2532","25",12
"139","1135","11",10
"140","0124","01",4
"141","0132","01",4
"142","1812","18",4
"143","1233","12",3
"144","1023","10",10
"145","1022","10",10
"146","1021","10",10
"147","2531","25",12
"148","1011","10",10
"149","1014","10",10
"150","0914","09",13
"151","1235","12",3
"152","1034","10",10
"153","1033","10",10
"154","1013","10",10
"155","0913","09",13
"156","0133","01",4
"157","0714","07",6
"158","0912","09",13
"159","1032","10",10
"160","1031","10",10
"161","1412","14",3
"162","0211","02",5
"163","0915","09",13
"164","1421","14",3
"165","1931","19",2
"166","1932","19",2
"167","1411","14",3
"168","2523","25",12
"169","2521","25",12
"170","2514","25",12
"171","1935","19",2
"172","2511","25",12
"173","1432","14",3
"174","2524","25",12
"175","1414","14",3
"176","2512","25",12
"177","1431","14",3
"178","1413","14",3
"179","1811","18",4
"180","2525","25",12
"181","2522","25",12
"182","1813","18",4
"183","1422","14",3
"184","1433","14",3
"185","1434","14",3
"186","2535","25",12
"187","2534","25",12
"188","2533","25",12
"189","2513","25",12
"190","1824","18",4
"191","1821","18",4
"192","1822","18",4
"193","1424","14",3
"194","0722","07",6
"195","0723","07",6
"196","0724","07",6
"197","0725","07",6
"198","0726","07",6
"199","0321","03",7
"200","0832","08",6
"201","0831","08",6
"202","0833","08",6
